,gl,eu,cbam
SVK_PROleg,4.853662088034974e-05,4.853662088034974e-05,9.70685303824198e-05
SVK_PUB+,0.0,0.0,0.0
SVK_RES+,-0.027777777777777932,-0.027777777777777932,-0.027777777777777932
SVK_TRAinl,-0.0008131403480241156,-0.0006504065040651379,0.0014603277624533446
SVK_TRAwar,0.0,0.0,0.0
SVK_TRDmot,-0.018952745367839627,0.018073328671201747,-0.00033308352069277825
SVN_ADM+,0.0,0.0,0.0
SVN_CNS+,0.41969082337462993,0.007376383071825975,0.0638486027591085
SVN_ENRele,-0.0007020828457757987,0.0,0.0
SVN_EXT+,0.0,0.0,0.0
SVN_FD+,0.0,0.0,0.0
SVN_MANfmp,0.4302207067805719,0.013760585065434981,0.07167657981341138
SVN_MANfoo,0.0,0.0,0.0
SVN_MANmet,0.30341142622277023,-0.039117106069895685,-0.03505557591303286
SVN_MANmot,-0.06544841657056677,0.004838763132601955,0.004838763132601955
SVN_MANwoo,0.0,0.0,0.0
SVN_PROleg,0.5386016798769667,0.0120072955719932,0.10000923020121846
SVN_TRAinl,-11.038816108685102,-0.010260586319218199,-0.09588799081312667
SVN_TRAwar,0.0,0.0,0.0
SVN_TRDmot,-0.0523468555031984,0.0010869836827507927,0.0008248247247461493
SWE_ADM+,-0.00012090436464752614,0.00012087513598449036,0.00012087513598449036
SWE_AGRfor,0.016116035455277997,0.00040933278755615586,0.0
SWE_CNS+,-0.11014793178177718,-0.0006369697227058839,0.002370872142252371
SWE_COMpub,0.0,0.0,0.0
SWE_ENRoil,0.005509641873278267,-0.014044943820224715,-0.002777777777777713
SWE_FD+,0.0038554216867468984,0.0,0.0
SWE_HEA+,0.0,0.0,0.0
SWE_MANfmp,-0.10462776659959747,-0.2119205298013244,-0.1680851063829786
SWE_MANfoo,0.0,0.0,0.0
SWE_MANmet,0.2037078276361207,0.00034945485043321524,-0.15170303567114918
SWE_MANmot,0.20744680851063835,-0.0017198248905566389,-0.00031225604996101467
SWE_MANpap,0.20410065237651445,0.028257159112459643,0.01744966442953007
SWE_MANwoo,-2.0719557195571956,0.0017985611510791292,0.033101045296167246
SWE_PROleg,-0.04542838506695316,0.0015756687431293338,0.027136073124575978
SWE_PUB+,0.0023775558725631415,0.0,0.0
SWE_RES+,-0.04795057488427651,-0.0029833148737003425,0.02140379621076118
SWE_TRAinl,0.04413032235821413,-0.03851916593831937,-0.047874015748031455
SWE_TRAwar,-0.07731000546746869,-0.00971072792026437,-0.005870641686660841
SWE_TRDmot,0.059147031029728465,-0.008987905369484368,-0.018480320638594016
TUR_ADM+,-0.00019238168526350302,0.16488635450967798,0.1648192771084338
TUR_AGRagr,-0.18750000000000003,0.9908345393150024,0.9908301158301158
TUR_CNS+,-0.060281440162271854,-0.1576980309374675,-0.19180619878874247
TUR_ENRele,0.03605097260511648,0.46736050450603994,0.5211641225029209
TUR_ENRoil,0.20131909547738688,-0.0007870916961826021,-0.0009183941222776944
TUR_FD+,-0.00019238168526350302,0.16488635450967798,0.1648192771084338
TUR_MANfoo,-0.0002398656752218011,0.19753680361781975,0.19745958429561208
TUR_MANmet,0.05182255382264364,-0.7111987151408966,-1.0637436168339498
TUR_MANpap,-0.0019689884321929148,0.012132977432662,0.012132977432662
TUR_MANpla,0.0004870920603994135,-0.5003655861564708,-0.5003655861564708
TUR_MANtex,-0.010128458498023636,0.0004888780249328523,-0.008633448445979207
TUR_MANwoo,0.0,0.0,0.0
TUR_PROleg,0.0,0.0,0.0
TUR_RES+,0.0002707275803721662,0.42681412495149396,0.44578268047426084
TUR_TRAinl,0.005169340463458144,0.0025616585249612486,0.003511486727770617
TUR_TRDmot,0.025850464602637225,0.14944771555068695,0.15790365583623292
TUR_WATwst,3.5391966023636376e-05,-0.8571052977520706,-0.9713926876918785
USA_ADM+,0.004976599063962476,0.15299726434888847,0.15477073946461706
USA_AGRagr,0.0,0.0,0.0
USA_CNS+,-0.0739360654800594,0.020560072755779573,0.08762422094916045
USA_COMpub,-1.3578469977923575e-05,0.0,-9.505703422037758e-05
USA_EDU+,0.0,0.0,0.0
USA_ENRcoa,-0.06378785163949109,0.0018493611297915706,0.032746823069403734
USA_ENRele,0.0004914004914003385,0.0,0.0
USA_ENRgas,0.03472392638036814,0.0019663812242308636,0.04763634162580958
USA_ENRoil,0.005243045967145982,0.05191595000818027,0.062152796101817176
USA_FD+,-0.07822720598050996,0.0003094250881861679,0.0003094250881861679
USA_FINser,-0.06649622346039244,0.020705800001320784,0.10905139331347728
USA_HEA+,-0.22271610714703488,0.014320469218534854,0.15209738212533994
USA_MANche,0.26061705989110706,0.0004906771344454952,0.0004906771344454952
USA_MANcom,-0.17396874864736178,-0.09509427867727223,-0.019815605823607182
USA_MANfmp,0.0004916420845623988,-0.0007383706620723572,-0.0007383706620723572
USA_MANfoo,-0.10776414576084953,0.0,0.0
USA_MANmac,0.12801724137931034,0.0,0.3497267759562842
USA_MANmet,-0.20147897474462617,0.0001564537157757971,0.007352179765972871
USA_MANmot,-0.2221266990058114,-0.017673172292433127,0.08422031918894549
USA_MANpap,-0.15721739130434795,0.0,-0.0006015037593985862
USA_MANpha,0.027350977395221562,-0.03439130806741383,-0.04376726519337023
USA_MANpla,0.0,0.0,0.0
USA_MANtra,-0.010704706169227056,0.12505013404259807,0.13360924729834245
USA_MANwoo,-0.9796215429403201,0.0,0.0
USA_MIN+,-1.163204747774481,0.006811989100817359,0.34968777876895635
USA_PROleg,-0.07558842484833306,0.0007471936938832424,0.028480913698501698
USA_PUB+,-0.10838314941703474,0.02994993545566932,0.1069176062227644
USA_RES+,-0.0814048284183179,0.023293314630940688,0.09336468272411635
USA_TRAinl,-0.058340855009436275,0.001702786377709019,0.03022556390977445
USA_TRAwar,0.5,0.0,0.0
USA_TRDmot,-0.1854153900026264,-0.014798679010556978,0.0720568572568536
USA_WATwst,0.0,0.0,0.0
